,work_year,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_size,best_indication
445,2022,1,2,115000,10,115000,1,0.0
446,2022,1,2,179400,10,179400,1,1.0
447,2022,1,2,154000,10,154000,1,1.0
448,2022,1,2,191475,10,191475,1,1.0
449,2022,1,2,141525,10,141525,1,0.0
450,2022,1,2,191475,10,191475,1,1.0
451,2022,1,2,141525,10,141525,1,0.0
452,2022,1,2,191475,10,191475,1,1.0
453,2022,1,2,141525,10,141525,1,0.0
454,2022,2,2,75000,10,75000,1,0.0
455,2022,2,2,80000,20,84229,1,1.0
456,2022,2,2,70000,20,73701,1,1.0
457,2022,2,2,80000,30,99084,1,0.0
458,2022,2,2,70000,30,86698,1,0.0
459,2022,2,2,80000,20,84229,1,1.0
460,2022,2,2,70000,20,73701,1,1.0
461,2022,1,2,191475,10,191475,1,1.0
462,2022,1,2,141525,10,141525,1,0.0
463,2022,1,2,191475,10,191475,1,1.0
464,2022,1,2,141525,10,141525,1,0.0
465,2022,1,2,83376,30,103265,1,0.0
466,2022,1,2,65004,30,80510,1,0.0
467,2022,1,2,191475,10,191475,1,1.0
468,2022,1,2,141525,10,141525,1,0.0
469,2022,1,2,84958,30,105224,1,0.0
470,2022,1,2,66822,30,82762,1,0.0
471,2022,1,2,191475,10,191475,1,1.0
472,2022,1,2,141525,10,141525,1,0.0
473,2022,1,2,191475,10,191475,1,1.0
474,2022,1,2,141525,10,141525,1,0.0
475,2022,1,2,115000,10,115000,2,0.0
476,2022,3,2,30000,20,31586,1,1.0
477,2022,1,2,81000,10,81000,1,0.0
478,2022,1,2,66000,10,66000,1,0.0
479,2022,3,2,46000,10,46000,2,0.0
480,2022,3,2,80000,10,80000,2,0.0
481,2022,4,2,200000,10,200000,0,1.0
482,2022,4,2,180000,10,180000,0,1.0
483,2022,4,2,200000,10,200000,0,1.0
484,2022,1,2,204100,10,204100,1,1.0
485,2022,1,2,136100,10,136100,1,0.0
486,2022,1,2,250000,10,250000,1,1.0
487,2022,1,2,63000,10,63000,1,0.0
488,2022,2,2,96000,30,118900,1,0.0
489,2022,2,2,90000,30,111469,1,0.0
490,2021,3,1,120000,120,19073,2,0.0
491,2022,1,2,191475,10,191475,1,1.0
492,2022,1,2,141525,10,141525,1,0.0
493,2022,1,2,191475,10,191475,1,1.0
494,2022,1,2,141525,10,141525,1,0.0
495,2022,1,2,191475,10,191475,1,1.0
496,2022,1,2,141525,10,141525,1,0.0
497,2022,1,2,95000,10,95000,1,0.0
498,2022,1,2,70000,10,70000,1,0.0
499,2022,2,2,75000,10,75000,1,0.0
500,2022,2,3,7500,10,7500,1,0.0
501,2022,2,2,113000,10,113000,2,0.0
502,2022,1,2,170000,10,170000,1,1.0
503,2022,1,2,130000,10,130000,1,0.0
504,2022,2,2,113000,10,113000,2,0.0
505,2022,2,2,140000,10,140000,1,0.0
506,2021,1,2,50000,10,50000,0,0.0
507,2022,2,2,77000,60,53767,1,0.0
508,2022,1,2,175000,10,175000,1,1.0
509,2022,1,2,140000,10,140000,1,0.0
510,2022,3,2,2324,10,2324,2,0.0
511,2022,1,2,28500,20,30006,0,1.0
512,2022,1,2,250000,10,250000,1,1.0
513,2022,1,2,63000,10,63000,1,0.0
514,2022,1,2,160000,10,160000,2,1.0
515,2022,1,2,119300,10,119300,2,0.0
516,2022,2,2,145000,10,145000,2,0.0
517,2022,1,2,105000,10,105000,1,0.0
518,2022,1,2,90000,10,90000,1,0.0
519,2022,1,2,146200,10,146200,1,0.0
520,2022,1,2,124270,10,124270,1,0.0
521,2022,2,2,225000,10,225000,1,1.0
522,2022,2,2,160000,10,160000,1,1.0
523,2022,2,2,52000,20,54749,0,1.0
524,2022,1,2,185800,10,185800,1,1.0
525,2022,1,2,137400,10,137400,1,0.0
526,2022,1,2,245000,10,245000,1,1.0
527,2022,1,2,180000,10,180000,1,1.0
528,2022,1,2,203500,10,203500,1,1.0
529,2022,1,2,152000,10,152000,1,1.0
530,2022,1,2,250000,10,250000,1,1.0
531,2022,1,2,63000,10,63000,1,0.0
532,2022,1,2,186000,10,186000,1,1.0
533,2022,1,2,148800,10,148800,1,0.0
534,2022,1,2,7500000,40,96209,2,0.0
535,2022,2,2,104000,30,128809,2,0.0
536,2022,3,2,82000,10,82000,2,0.0
537,2022,3,1,110000,10,110000,1,0.0
538,2022,2,2,173000,10,173000,1,1.0
539,2022,1,2,203500,10,203500,1,1.0
540,2022,1,2,152000,10,152000,1,1.0
541,2022,1,2,186000,10,186000,1,1.0
542,2022,1,2,148800,10,148800,1,0.0
543,2022,3,2,32400,70,6294,2,0.0
544,2022,2,2,158000,10,158000,1,1.0
545,2022,2,2,134000,10,134000,1,0.0
546,2022,1,2,170000,10,170000,1,1.0
547,2022,1,2,120000,10,120000,1,0.0
548,2022,4,2,200000,10,200000,1,1.0
549,2022,4,2,150000,10,150000,1,1.0
550,2022,1,2,216200,10,216200,1,1.0
551,2022,1,2,144100,10,144100,1,0.0
552,2022,2,2,110000,20,115816,1,1.0
553,2022,2,2,85000,20,89494,1,1.0
554,2022,1,2,250000,10,250000,1,1.0
555,2022,1,2,63000,10,63000,1,0.0
556,2022,1,2,135000,10,135000,1,0.0
557,2022,1,2,85000,10,85000,1,0.0
558,2022,1,2,135000,10,135000,1,0.0
559,2022,1,2,85000,10,85000,1,0.0
560,2022,1,2,206000,10,206000,1,1.0
561,2022,1,2,175100,10,175100,1,1.0
562,2022,1,2,189650,10,189650,1,1.0
563,2022,1,2,164996,10,164996,1,1.0
564,2022,1,2,149040,10,149040,1,0.0
565,2022,1,2,113900,10,113900,1,0.0
566,2022,1,2,154000,10,154000,1,1.0
567,2022,1,2,126000,10,126000,1,0.0
568,2022,1,2,200000,10,200000,2,1.0
569,2022,1,2,150000,10,150000,2,1.0
570,2022,1,2,195700,10,195700,1,1.0
571,2022,1,2,130500,10,130500,1,0.0
572,2022,1,2,170000,10,170000,1,1.0
573,2022,1,2,135000,10,135000,1,0.0
574,2022,2,2,80000,30,99084,1,0.0
575,2022,2,2,60000,30,74313,1,0.0
576,2022,1,2,117000,10,117000,1,0.0
577,2022,1,2,99450,10,99450,1,0.0
578,2022,1,2,200000,10,200000,1,1.0
579,2022,1,2,135000,10,135000,1,0.0
580,2022,1,2,193900,10,193900,1,1.0
581,2022,1,2,129300,10,129300,1,0.0
582,2022,3,2,45000,30,55734,0,0.0
583,2022,1,2,70000,30,86698,1,0.0
584,2022,1,2,50000,30,61927,1,0.0
585,2022,1,2,175000,10,175000,1,1.0
586,2022,1,2,130000,10,130000,1,0.0
587,2022,1,2,188100,10,188100,1,1.0
588,2022,1,2,139860,10,139860,1,0.0
589,2022,1,2,248700,10,248700,1,1.0
590,2022,1,2,167100,10,167100,1,1.0
591,2022,2,2,450000,40,5772,0,0.0
592,2022,1,2,123400,10,123400,1,0.0
593,2022,1,2,88100,10,88100,1,0.0
594,2022,2,2,48000,20,50537,0,1.0
595,2022,1,2,245000,10,245000,1,1.0
596,2022,1,2,205000,10,205000,1,1.0
597,2022,1,2,141300,10,141300,1,0.0
598,2022,1,2,102100,10,102100,1,0.0
599,2022,1,2,141300,10,141300,1,0.0
600,2022,1,2,102100,10,102100,1,0.0
601,2022,3,2,50000,10,50000,2,0.0
602,2022,3,2,80000,20,84229,2,1.0
603,2022,1,2,12500,70,2428,2,0.0
604,2022,2,2,50000,30,61927,0,0.0
605,2022,1,2,250000,10,250000,1,1.0
606,2022,1,2,63000,10,63000,1,0.0
607,2022,1,2,189500,10,189500,2,1.0
608,2022,1,2,140100,10,140100,2,0.0
609,2022,1,2,177600,10,177600,2,1.0
610,2022,1,2,131300,10,131300,2,0.0
611,2022,2,2,24000,10,24000,1,0.0
612,2022,2,2,24000,10,24000,1,0.0
613,2022,1,2,250000,10,250000,1,1.0
614,2022,1,2,63000,10,63000,1,0.0
615,2022,1,2,202900,10,202900,2,1.0
616,2022,1,2,131300,10,131300,2,0.0
617,2022,1,2,145000,10,145000,1,0.0
618,2022,1,2,115000,10,115000,1,0.0
619,2022,3,2,115000,10,115000,2,0.0
620,2022,2,2,193900,10,193900,1,1.0
621,2022,2,2,129300,10,129300,1,0.0
622,2022,1,2,180000,10,180000,2,1.0
623,2022,1,2,140000,10,140000,2,0.0
624,2022,2,2,216200,10,216200,1,1.0
625,2022,2,2,144100,10,144100,1,0.0
626,2022,1,2,216000,10,216000,1,1.0
627,2022,1,2,144000,10,144000,1,0.0
628,2022,3,2,150000,10,150000,2,1.0
629,2021,3,2,900000,40,12171,1,0.0
630,2022,2,2,4200000,40,53877,2,0.0
631,2022,3,2,50000,10,50000,1,0.0
632,2021,1,2,250000,10,250000,2,1.0
633,2022,4,2,80000,20,84229,2,1.0
634,2022,2,2,107000,30,132524,1,0.0
635,2022,1,2,48000,10,48000,0,0.0
636,2022,4,2,260500,10,260500,1,1.0
637,2022,4,2,175100,10,175100,1,1.0
638,2022,1,2,210000,10,210000,1,1.0
639,2022,1,2,100000,10,100000,1,0.0
640,2022,3,2,55000,10,55000,0,0.0
641,2022,2,2,130000,10,130000,1,0.0
642,2022,1,2,73400,20,77280,2,1.0
643,2022,3,2,49500,20,52117,0,1.0
644,2022,2,4,2400000,40,30787,0,0.0
645,2022,1,2,206699,10,206699,1,1.0
646,2022,1,2,99100,10,99100,1,0.0
647,2022,2,2,200000,10,200000,1,1.0
648,2022,2,2,54000,10,54000,1,0.0
649,2022,1,2,250000,10,250000,1,1.0
650,2022,1,2,63000,10,63000,1,0.0
651,2022,1,2,250000,10,250000,1,1.0
652,2022,1,2,63000,10,63000,1,0.0
653,2022,1,2,250000,10,250000,1,1.0
654,2022,1,2,63000,10,63000,1,0.0
655,2022,3,2,130000,10,130000,2,0.0
656,2022,1,2,100000,10,100000,2,0.0
657,2022,1,2,80000,10,80000,2,0.0
658,2022,1,2,160000,10,160000,2,1.0
659,2022,1,2,100000,10,100000,2,0.0
660,2022,1,2,221300,10,221300,2,1.0
661,2022,1,2,148700,10,148700,2,0.0
662,2022,3,2,30000,10,30000,2,0.0
663,2022,3,2,27000,20,28427,1,1.0
664,2022,2,2,74000,30,91652,1,0.0
665,2022,2,2,50000,30,61927,1,0.0
666,2022,2,2,58000,20,61066,0,1.0
667,2022,1,2,249260,10,249260,1,1.0
668,2022,1,2,185400,10,185400,1,1.0
669,2022,1,2,170000,10,170000,1,1.0
670,2022,1,2,130000,10,130000,1,0.0
671,2022,2,2,65000,30,80505,1,0.0
672,2022,1,2,128875,10,128875,1,0.0
673,2022,1,2,93700,10,93700,1,0.0
674,2022,1,2,180000,10,180000,1,1.0
675,2022,1,2,100000,10,100000,1,0.0
676,2022,1,2,136260,10,136260,1,0.0
677,2022,1,2,109280,10,109280,1,0.0
678,2022,1,2,160000,10,160000,2,1.0
679,2022,1,2,92000,10,92000,2,0.0
680,2022,1,2,200000,10,200000,1,1.0
681,2022,1,2,160000,10,160000,1,1.0
682,2022,2,2,110000,30,136240,1,0.0
683,2022,2,2,85000,30,105276,1,0.0
684,2022,1,2,117000,10,117000,1,0.0
685,2022,1,2,99450,10,99450,1,0.0
686,2022,3,2,240000,40,3078,0,0.0
687,2022,3,2,129000,10,129000,2,0.0
688,2022,3,2,86000,10,86000,2,0.0
689,2020,3,2,1000000,40,13493,2,0.0
690,2020,3,2,1000000,40,13493,2,0.0
691,2022,1,2,160000,10,160000,2,1.0
692,2022,1,2,119300,10,119300,2,0.0
693,2022,1,2,100000,10,100000,2,0.0
694,2022,2,2,25000,10,25000,1,0.0
695,2022,2,2,90000,110,65161,1,0.0
696,2022,2,2,200000,10,200000,1,1.0
697,2022,3,2,180000,10,180000,2,1.0
698,2022,2,2,153000,10,153000,2,1.0
699,2022,1,2,210000,10,210000,1,1.0
700,2022,1,2,100000,10,100000,1,0.0
701,2022,1,2,150075,10,150075,1,1.0
702,2022,1,2,110925,10,110925,1,0.0
703,2022,2,2,22800,10,22800,1,0.0
704,2022,1,2,160000,10,160000,2,1.0
705,2022,1,2,92000,10,92000,2,0.0
706,2022,1,2,202900,10,202900,2,1.0
707,2022,1,2,131300,10,131300,2,0.0
708,2020,3,2,20000,20,22809,1,1.0
709,2022,3,2,15000,10,15000,2,0.0
710,2022,1,2,175000,10,175000,1,1.0
711,2022,1,2,135000,10,135000,1,0.0
712,2022,1,2,193000,60,134768,2,0.0
713,2022,3,2,83000,10,83000,2,0.0
714,2022,2,2,75000,30,92891,1,0.0
715,2022,2,2,55000,30,68120,1,0.0
716,2022,1,2,186000,10,186000,1,1.0
717,2022,1,2,148800,10,148800,1,0.0
718,2022,1,2,112900,10,112900,1,0.0
719,2022,1,2,90320,10,90320,1,0.0
720,2022,1,2,240000,10,240000,1,1.0
721,2022,1,2,160000,10,160000,1,1.0
722,2022,1,2,300000,10,300000,1,1.0
723,2022,1,2,200000,10,200000,1,1.0
724,2022,2,2,62500,20,65804,0,1.0
725,2022,2,2,200000,10,200000,2,1.0
726,2022,2,2,95000,30,117662,1,0.0
727,2022,2,2,75000,30,92891,1,0.0
728,2022,2,2,120000,10,120000,1,0.0
729,2022,1,2,112900,10,112900,1,0.0
730,2022,1,2,90320,10,90320,1,0.0
731,2022,1,2,145000,10,145000,1,0.0
732,2022,1,2,105400,10,105400,1,0.0
733,2020,3,2,43200,20,49268,0,1.0
734,2022,2,2,90000,30,111469,1,0.0
735,2022,2,2,75000,30,92891,1,0.0
736,2022,1,2,215300,10,215300,2,1.0
737,2022,1,2,158200,10,158200,2,1.0
738,2022,1,2,209100,10,209100,2,1.0
739,2022,1,2,154600,10,154600,2,1.0
740,2022,1,2,115934,10,115934,1,0.0
741,2022,1,2,81666,10,81666,1,0.0
742,2022,1,2,175000,10,175000,1,1.0
743,2022,1,2,155000,10,155000,1,1.0
744,2022,2,2,80000,20,84229,1,1.0
745,2022,1,2,164000,10,164000,1,1.0
746,2022,1,2,132000,10,132000,1,0.0
747,2022,1,2,170000,10,170000,1,1.0
748,2022,1,2,123000,10,123000,1,0.0
749,2022,1,2,189650,10,189650,1,1.0
750,2022,1,2,164996,10,164996,1,1.0
751,2022,2,2,50000,20,52643,1,1.0
752,2022,2,2,50000,20,52643,1,1.0
753,2022,4,2,150000,50,116073,0,0.0
754,2022,1,2,165400,10,165400,1,1.0
755,2022,1,2,132320,10,132320,1,0.0
756,2022,1,2,208775,10,208775,1,1.0
757,2022,1,2,147800,10,147800,1,0.0
758,2022,1,2,136994,10,136994,1,0.0
759,2022,1,2,101570,10,101570,1,0.0
760,2022,1,2,128875,10,128875,1,0.0
761,2022,1,2,93700,10,93700,1,0.0
762,2022,4,2,6000000,40,76967,2,0.0
763,2022,3,2,28500,30,35298,2,0.0
764,2022,1,2,183600,10,183600,2,1.0
765,2022,1,2,100800,10,100800,2,0.0
766,2022,2,2,40000,30,49542,1,0.0
767,2022,2,2,30000,30,37156,1,0.0
768,2022,2,2,40000,20,42114,1,1.0
769,2022,2,2,30000,20,31586,1,1.0
770,2022,2,2,80000,20,84229,1,1.0
771,2022,2,2,70000,20,73701,1,1.0
772,2022,2,2,80000,30,99084,1,0.0
773,2022,2,2,70000,30,86698,1,0.0
774,2022,2,2,80000,20,84229,1,1.0
775,2022,2,2,70000,20,73701,1,1.0
776,2022,1,2,189650,10,189650,1,1.0
777,2022,1,2,164996,10,164996,1,1.0
778,2022,2,2,40000,20,42114,1,1.0
779,2022,2,2,30000,20,31586,1,1.0
780,2022,2,2,75000,30,92891,1,0.0
781,2022,2,2,60000,30,74313,1,0.0
782,2022,1,2,215300,10,215300,2,1.0
783,2022,1,2,140400,10,140400,2,0.0
784,2022,2,2,60000,20,63172,1,1.0
785,2022,2,2,45000,20,47379,1,1.0
786,2022,1,2,260000,10,260000,1,1.0
787,2022,1,2,180000,10,180000,1,1.0
788,2022,2,2,55000,30,68120,1,0.0
789,2022,2,2,35000,30,43349,1,0.0
790,2022,2,2,60000,20,63172,1,1.0
791,2022,2,2,45000,20,47379,1,1.0
792,2022,2,2,60000,30,74313,1,0.0
793,2022,2,2,45000,30,55734,1,0.0
794,2021,2,2,43200,20,51064,2,1.0
795,2022,1,2,60000,10,60000,2,0.0
796,2022,2,2,82900,10,82900,1,0.0
797,2022,2,2,63900,10,63900,1,0.0
798,2022,2,2,160000,10,160000,2,1.0
799,2022,2,2,112300,10,112300,2,0.0
800,2022,2,2,241000,10,241000,1,1.0
801,2022,2,2,159000,10,159000,1,1.0
802,2022,1,2,180000,10,180000,1,1.0
803,2022,1,2,80000,10,80000,1,0.0
804,2022,2,2,58000,10,58000,0,0.0
805,2022,2,2,58000,10,58000,0,0.0
806,2022,1,2,136000,10,136000,1,0.0
807,2022,1,2,108800,10,108800,1,0.0
808,2022,4,2,242000,10,242000,1,1.0
809,2022,4,2,200000,10,200000,1,1.0
810,2022,2,2,50000,30,61927,1,0.0
811,2022,2,2,30000,30,37156,1,0.0
812,2022,2,2,60000,30,74313,1,0.0
813,2022,2,2,40000,30,49542,1,0.0
814,2022,1,2,165220,10,165220,1,1.0
815,2022,1,2,120160,10,120160,1,0.0
816,2022,1,2,124190,10,124190,1,0.0
817,2022,1,2,90320,10,90320,1,0.0
818,2022,1,2,181940,10,181940,1,1.0
819,2022,1,2,132320,10,132320,1,0.0
820,2022,1,2,220110,10,220110,1,1.0
821,2022,1,2,160080,10,160080,1,1.0
822,2022,1,2,180000,10,180000,2,1.0
823,2022,1,2,120000,10,120000,2,0.0
824,2022,2,2,126500,10,126500,1,0.0
825,2022,2,2,106260,10,106260,1,0.0
826,2022,1,2,116000,10,116000,1,0.0
827,2022,1,2,99000,10,99000,1,0.0
828,2022,1,2,155000,10,155000,1,1.0
829,2022,1,2,120600,10,120600,1,0.0
830,2022,2,2,130000,10,130000,1,0.0
831,2022,2,2,90000,10,90000,1,0.0
832,2022,2,2,170000,10,170000,1,1.0
833,2022,2,2,150000,10,150000,1,1.0
834,2022,1,2,102100,10,102100,1,0.0
835,2022,1,2,84900,10,84900,1,0.0
836,2022,1,2,136620,10,136620,1,0.0
837,2022,1,2,99360,10,99360,1,0.0
838,2022,1,2,90000,30,111469,1,0.0
839,2022,1,2,80000,30,99084,1,0.0
840,2022,1,2,146000,10,146000,1,0.0
841,2022,1,2,123000,10,123000,1,0.0
842,2022,3,2,40000,30,49542,1,0.0
843,2022,3,2,35000,30,43349,1,0.0
844,2022,4,2,130000,10,130000,1,0.0
845,2022,4,2,110000,10,110000,1,0.0
846,2022,1,2,170000,10,170000,1,1.0
847,2022,1,2,135000,10,135000,1,0.0
848,2022,1,2,161342,10,161342,1,1.0
849,2022,1,2,137141,10,137141,1,0.0
850,2022,1,2,167000,10,167000,1,1.0
851,2022,1,2,123000,10,123000,1,0.0
852,2022,1,2,60000,30,74313,1,0.0
853,2022,1,2,50000,30,61927,1,0.0
854,2022,1,2,211500,10,211500,1,1.0
855,2022,1,2,138600,10,138600,1,0.0
856,2022,1,2,192400,10,192400,1,1.0
857,2022,1,2,90700,10,90700,1,0.0
858,2022,1,2,130000,10,130000,1,0.0
859,2022,1,2,61300,10,61300,1,0.0
860,2022,1,2,130000,10,130000,1,0.0
861,2022,1,2,61300,10,61300,1,0.0
862,2022,1,2,160000,10,160000,2,1.0
863,2022,1,2,113000,10,113000,2,0.0
864,2022,1,2,150000,10,150000,1,1.0
865,2022,1,2,95550,10,95550,1,0.0
866,2022,2,2,167000,10,167000,1,1.0
867,2022,2,2,115500,10,115500,1,0.0
868,2022,1,2,112900,10,112900,1,0.0
869,2022,1,2,90320,10,90320,1,0.0
870,2022,1,2,112900,10,112900,1,0.0
871,2022,1,2,90320,10,90320,1,0.0
872,2022,1,2,165400,10,165400,1,1.0
873,2022,1,2,132320,10,132320,1,0.0
874,2022,1,2,243900,10,243900,1,1.0
875,2022,1,2,156600,10,156600,1,1.0
876,2022,1,2,136600,10,136600,1,0.0
877,2022,1,2,109280,10,109280,1,0.0
878,2022,1,2,128875,10,128875,1,0.0
879,2022,1,2,93700,10,93700,1,0.0
880,2022,4,2,224000,10,224000,1,1.0
881,2022,4,2,167875,10,167875,1,1.0
882,2022,4,2,175000,10,175000,1,1.0
883,2022,4,2,135000,10,135000,1,0.0
884,2022,1,2,209100,10,209100,2,1.0
885,2022,1,2,154600,10,154600,2,1.0
886,2022,1,2,180000,10,180000,1,1.0
887,2022,1,2,160000,10,160000,1,1.0
888,2022,1,2,205300,10,205300,2,1.0
889,2022,1,2,140400,10,140400,2,0.0
890,2022,1,2,176000,10,176000,1,1.0
